permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
1989-000029 C8,Subdivision,"COLLEGE PARK, SECTION TWO",NA,NA,Approved,"999, 999, 999","COLLEGE PARK, SECTION TWO",05/11/1989,03/02/2007 06:10:13 AM,03/20/1989,NA,1989,NA,NA,NA
1984-000080 C8,Subdivision,"MILWOOD SECTION 38-A, WITHDRAWAL & RESUBMITTAL",NA,NA,Closed,999,"MILWOOD SECTION 38-A, WITHDRAWAL & RESUBMITTAL",07/13/1992,03/02/2007 06:10:13 AM,06/26/1992,NA,1992,NA,NA,NA
1985-000110 C,Subdivision Joint City/County,OVERLOOK ESTATES,Final Plat,With Preliminary,Expired,SF,OVERLOOK ESTATES,NA,03/02/2007 06:10:13 AM,11/16/2006,NA,2006,NA,NA,121
2016-135432 C8,Subdivision,"Maconda Park 620/183, 4",Final Plat,Resubdivision,Subdivision Recorded,Commercial,NA,08/23/2017,08/23/2017 09:43:22 AM,11/02/2016,08/23/2017,2016,78729,1,2
2000-002210 C8,Subdivision,DOMAIN SECTION 2,Preliminary Plan,Preliminary,Withdrawn,999,DOMAIN SECTION 2,02/27/2001,03/02/2007 06:10:13 AM,09/26/2000,NA,2000,78758,NA,NA
2003-000025 C8,Subdivision,SHELDON 230 SEC 2 PHASE 1 (SMART HOUSING),Final Plat,With Preliminary,Approved,"SF, ROW, 999",SHELDON 230 SEC 2 PHASE 1 (SMART HOUSING),01/20/2004,03/02/2007 06:10:13 AM,10/20/2003,NA,2003,78747,NA,NA
2003-000166 C,Subdivision Joint City/County,SOUTHWIND AT SHADY HOLLOW,Final Plat,With Preliminary,Expired,"SF, ROW",SOUTHWIND AT SHADY HOLLOW,05/23/2006,03/06/2008 08:00:16 PM,09/28/2005,NA,2005,NA,NA,NA
2001-000043 C8,Subdivision,MAUND SUBDIVISION,Final Plat,Without Preliminary,Approved,RET,MAUND SUBDIVISION,04/27/2001,03/02/2007 06:10:13 AM,02/13/2001,NA,2001,NA,NA,NA
2017-089872 C8,Subdivision,4414 Merle Subdivision,Final Plat,Resubdivision,Expired,Single Family,NA,NA,09/05/2017 09:00:04 PM,07/21/2017,NA,2017,78745,1,2
2019-142156 C8,Subdivision,Arebalo Place Subdivision,Final Plat,Previously Unplatted,Expired,Single Family,NA,NA,07/02/2020 03:45:39 AM,06/28/2019,NA,2019,78741,2,1
2002-000088 C8,Subdivision,GRAND OAKS SUBDIVISION - ROUGH CUT PERMIT,Subdivision Construction Plan,Rough Cut,Approved and Released,999,GRAND OAKS SUBDIVISION - ROUGH CUT PERMIT,03/19/2003,03/02/2007 06:10:13 AM,02/24/2003,NA,2003,NA,NA,NA
2003-000164 C8,Subdivision,KINNEY MUES SUBDIVISION,Final Plat,Without Preliminary,Approved,SF,KINNEY MUES SUBDIVISION,10/08/2003,03/02/2007 06:10:13 AM,10/03/2003,NA,2003,NA,NA,NA
2003-000146 C,Subdivision Joint City/County,"AUSTIN'S COLONY, PH 6 - 13",Preliminary Plan,Preliminary,Approved,"SF, GRBL, ROW, PUB","AUSTIN'S COLONY, PH 6 - 13",03/25/2004,05/02/2017 10:22:41 AM,09/15/2003,NA,2003,NA,NA,934
2015-123856 C8,Subdivision,Cherico Gardens,Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,07/19/2016,09/05/2017 03:26:35 PM,10/13/2015,07/19/2016,2015,78702,1,3
1996-000217 C8,Subdivision,HILLCREST SEC 3,Final Plat,With Preliminary,Approved,SF,HILLCREST SECTION 3,01/07/2000,03/18/2009 10:04:47 AM,12/22/1999,NA,1999,78748,NA,82
2010-015594 C8,Subdivision,"Sheldon 230, Sec 1 Ph 4 (SMART Housing)",Final Plat,With Preliminary,Subdivision Recorded,"SF, ROW",NA,04/27/2011,04/27/2011 01:50:02 PM,02/25/2010,04/27/2011,2010,NA,1,19
2000-002050 C8,Subdivision,"SENNA HILLS SEC 1-B, AMENDED PLAT OF LOTS 47 & 48, BLOCK B",Final Plat,Amended Plat,Approved,SF,"SENNA HILLS SECTION ONE-B, LOTS 47 & 48 BLOCK B AMENDED PLAT",06/01/2000,02/06/2009 02:01:50 PM,03/06/2000,NA,2000,78733,NA,NA
2020-188391 C,Subdivision Joint City/County,The Cardenas Residence a Resubdivision Lot 1 Hermanns Sons Subdivision,Final Plat,Resubdivision,Expired,Single Family,NA,NA,01/29/2021 09:01:04 PM,12/14/2020,NA,2020,78724,NA,1
2000-002135 C8,Subdivision,BRODIE SPRINGS II (WITHDRAWAL & RESUBMITTAL),Preliminary Plan,Preliminary,Withdrawn,"SF, ROW, GRBL",BRODIE SPRINGS II (WITHDRAWAL & RESUBMITTAL),08/01/2000,03/02/2007 06:10:13 AM,06/12/2000,NA,2000,NA,NA,NA
2005-000104 C8,Subdivision,FRONTIER AT MONTANA,Preliminary Plan,Revised Preliminary,Approved,GRBL,FRONTIER AT MONTANA,09/16/2005,03/02/2007 06:10:13 AM,08/19/2005,NA,2005,NA,NA,NA
1985-000106 C8,Subdivision,"SPRINGBROOK, PHASE D",NA,NA,Closed,999,"SPRINGBROOK, PHASE D",NA,03/02/2007 06:10:13 AM,12/06/1985,NA,1985,NA,NA,NA
1994-000013 C8,Subdivision,HILLS OF LAKEWAY PH 2 AMENDED PLAT OF LOTS 35-36 & Amended Plat of Lot 68,Final Plat,Amended Plat,Approved,999,"HILLS OF LAKEWAY PH 2 AMENDED PLAT OF LOTS 35-36, AMENDED PLAT OF LOT 68",NA,01/21/2009 09:08:55 AM,01/21/1994,NA,1994,NA,NA,1
1997-000215 C8,Subdivision,TRAVIS COOK ROAD ADDITION (PLAT VACATION),Subdivision Vacation,With Replat,Approved,NA,TRAVIS COOK ROAD ADDITION (PLAT VACATION),12/15/2004,09/01/2009 01:17:00 PM,11/29/2004,NA,2004,78735,NA,NA
1999-000110 C,Subdivision Joint City/County,RIVER DANCE PHASES 3-6,Preliminary Plan,Revised Preliminary,Approved,"SF, GRBL, ROW, MF, OFC",RIVER DANCE PHASES 3-6,09/06/2005,03/02/2007 06:10:13 AM,03/22/2005,NA,2005,NA,NA,NA
1988-000071 C8,Subdivision,"ROSEDALE-G, LOTS 6,7, & 8, BLOCK 29, AMENDED PLAT OF",NA,NA,Approved,999,"ROSEDALE-G, LOTS 6,7, & 8, BLOCK 29, AMENDED PLAT OF",08/22/1988,03/02/2007 06:10:13 AM,08/03/1988,NA,1988,NA,NA,NA
2009-109319 C,Subdivision Joint City/County,"Texas Commerce Bancshares Subd.; Amended Plat of Lt1 M-P Add. & Lt 1, Blk A",Final Plat,Amended Plat,Expired,"MF, OFC",NA,NA,09/27/2010 03:45:44 AM,09/29/2009,NA,2009,78746,2,2
2002-000013 C8,Subdivision,AUSTIN BERGSTROM AIRPORT CENTRE PHASE II (RESUBMITTAL OF C8-01-0194.0A),Final Plat,Previously Unplatted,Expired,"OFC, RET",AUSTIN BERGSTROM AIRPORT CENTRE PHASE II (RESUBMITTAL OF C8-01-0194.0A),07/18/2002,02/17/2009 11:52:38 AM,01/29/2002,NA,2002,NA,NA,NA
1984-000164 C8,Subdivision,"CIRCLE C PHASE C, SECTION FOUR - LA CROSSE",Subdivision Construction Plan,Rough Cut with Full Development App,Closed,NA,"CIRCLE C PHASE C, SECTION FOUR - LA CROSSE",NA,03/16/2009 12:41:54 PM,09/08/1993,NA,1993,NA,NA,NA
2006-000169 C8,Subdivision,"MASONFIELD, AMENDED PLAT OF LOTS 35 & 36, BLOCK 5",Final Plat,Amended Plat,Approved,SF,"MASONFIELD, AMENDED PLAT OF LOTS 35 & 36, BLOCK 5",09/22/2006,12/20/2007 02:50:56 PM,07/27/2006,NA,2006,78721,NA,2
2018-119838 C8,Subdivision,Thousand Oaks,Final Plat,Resubdivision,Withdrawn,Single Family,NA,07/17/2019,07/17/2019 09:31:32 AM,07/17/2018,NA,2018,78612,1,4
1987-000025 C8,Subdivision,T/A SUBDIVISION,Final Plat,Without Preliminary,Closed,999,T/A SUBDIVISION,NA,09/28/2007 10:06:52 AM,04/16/1987,NA,1987,NA,NA,6
2002-000035 C8,Subdivision,PARKWAY AND PARKSIDE SUBDIVISION (RESUBMITTAL OF C8-01-0038),Preliminary Plan,Preliminary,Approved,"SF, PUB, ROW, GRBL, MF",PARKWAY AND PARKSIDE SUBDIVISION (RESUBMITTAL OF C8-01-0038),07/18/2002,03/02/2007 06:10:13 AM,02/26/2002,NA,2002,NA,NA,NA
1998-000160 C8,Subdivision,"WESTMINSTER GLEN PH. 1-E, REPLAT OF LOTS 82,83,84,88,89 & 90",Final Plat,Without Preliminary,Approved,999,"WESTMINSTER GLEN PH. 1-E, REPLAT OF LOTS 82,83,84,88,89 & 90",10/29/1998,03/02/2007 06:10:13 AM,09/30/1998,NA,1998,78730,NA,NA
2018-078684 C8,Subdivision,Oak Acres Amended Plat,Final Plat,Amended Plat,Subdivision Recorded,single family,NA,10/02/2018,10/02/2018 02:18:42 PM,05/01/2018,10/02/2018,2018,78735,2,2
1988-000019 C8,Subdivision,YAGER LANE BUSINESS PARK SECTION ONE,NA,NA,Approved,999,YAGER LANE BUSINESS PARK SECTION ONE,05/24/1988,03/02/2007 06:10:13 AM,03/07/1988,NA,1988,NA,NA,NA
2012-035309 C8,Subdivision,Stirling Bridge Section Six,Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,02/26/2013,02/26/2013 03:01:57 PM,04/12/2012,02/26/2013,2012,NA,1,50
2015-029681 C8,Subdivision,Old Tarlton Center Lot 1; Resubdivision,Final Plat,Resubdivision,Withdrawn,Retail,NA,06/17/2015,06/17/2015 01:19:21 PM,03/17/2015,NA,2015,78746,1,1
2017-095131 C8,Subdivision,Gracy Woods,Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,01/22/2019,01/22/2019 04:20:44 PM,08/02/2017,01/22/2019,2017,78758,1,26
1996-000077 C8,Subdivision,"STONE RIDGE SEC 1, RESUBDIVISION OF",Final Plat,Resubdivision,Approved,999,"STONE RIDGE SEC 1, RESUBDIVISION OF",NA,04/08/2009 02:04:47 PM,04/23/1996,NA,1996,NA,NA,1
1999-000044 C8,Subdivision,"MACONDA PARK 620/183,5 AMENDED",Final Plat,Amended Plat,Approved,999,"MACONDA PARK 620/183, 5; AMENDED PLAT",03/23/1999,02/02/2009 02:06:43 PM,03/11/1999,NA,1999,NA,NA,6
2015-014777 C8,Subdivision,Boulevard City Homes,Final Plat,Resubdivision,Expired,Commercial Multi Family,NA,NA,08/10/2015 06:51:55 AM,02/09/2015,NA,2015,78704,1,1
2021-051326 C8,Subdivision,"MUELLER- SECTION IV, PH I & II",Subdivision Construction Plan,Non-Concurrent,Pending,ROW,"MUELLER- SECTION IV, PH I & II",NA,04/08/2021 06:51:46 AM,04/08/2021,NA,2021,NA,NA,369
1973-000011 C8,Subdivision,SKY FOREST PUD,Subdivision Construction Plan,NA,Approved and Released,"SF, CS",SKY FOREST PUD,03/11/2004,03/02/2007 06:10:13 AM,11/17/2003,NA,2003,78746,NA,NA
2007-149498 C,Subdivision Joint City/County,"Zachary Scott Subdivision, Preliminary Plan, Revision No. 2",Preliminary Plan,Revised Preliminary,Expired,Single Family,NA,NA,12/17/2008 03:09:37 PM,09/07/2007,NA,2007,NA,NA,953
1993-000220 C8,Subdivision,JOHN ROSS SUBDIVISION,NA,NA,Approved,NA,JOHN ROSS SUBDIVISION,09/04/2001,03/02/2007 06:10:13 AM,08/21/2001,NA,2001,78746,NA,NA
2015-130393 C8,Subdivision,Mueller-Sec. X(10) Final Plat,Final Plat,With Preliminary,Subdivision Recorded,"PUD, ROW",NA,08/08/2016,08/08/2016 03:18:53 PM,10/28/2015,08/08/2016,2015,78723,1104,250
2014-099142 C8,Subdivision,Burleson Industrial Park,Preliminary Plan,Preliminary,Subdivision Recorded,Industrial Warehouse Purposes,NA,11/16/2015,11/16/2015 11:35:13 AM,09/16/2014,11/16/2015,2014,78744,1,7
1994-000086 C8,Subdivision,GAINES RANCH SUBDIVISION,NA,NA,Approved,"999, 999, 999",GAINES RANCH SUBDIVISION,NA,03/02/2007 06:10:13 AM,04/22/1994,NA,1994,NA,NA,NA
2000-002048 C8,Subdivision,PARMER NORTH SEC 2 (WITHDRAWAL & RESUBMITTAL),Final Plat,Previously Unplatted,Approved,IND,PARMER NORTH SECTION 2 (WITHDRAWAL & RESUBMITTAL),11/29/2000,03/16/2009 08:34:28 AM,03/06/2000,NA,2000,78753,NA,NA
2014-068895 C8,Subdivision,Azamy's Subdivision,Final Plat,Previously Unplatted,Subdivision Recorded,Office,NA,09/15/2015,09/15/2015 03:23:04 PM,07/01/2014,09/15/2015,2014,78721,1,1
1999-002055 C8,Subdivision,AVERY RANCH EAST PH 1,Final Plat,With Preliminary,Approved,SF,AVERY RANCH EAST PHASE 1,01/30/2001,04/01/2009 11:09:13 AM,11/15/1999,NA,1999,NA,NA,330
1985-000100 C8,Subdivision,"HARPER PARK, SECTION 1",NA,NA,Closed,999,"HARPER PARK, SECTION 1",01/12/1987,03/02/2007 06:10:13 AM,11/19/1986,NA,1986,NA,NA,1
1985-000002 C8,Subdivision,TWENTY TWO TWENTY TWO BUSINESS PARK SECTION 1,NA,NA,Closed,"999, 999",TWENTY TWO TWENTY TWO BUSINESS PARK SECTION 1,10/17/1986,03/02/2007 06:10:13 AM,08/15/1986,NA,1986,NA,NA,NA
2007-113253 C8,Subdivision,Bradshaw Crossing Sec 8 (Smart Housing),Final Plat,With Preliminary,Expired,SF,NA,NA,10/28/2009 01:39:29 PM,04/12/2007,NA,2007,NA,1,91
2008-025603 C8,Subdivision,10070 CIRCLEVIEW DRXXXXX,Subdivision Construction Plan,Water/Waste Water,VOID,NA,NA,NA,10/07/2008 02:16:19 PM,04/09/2008,NA,2008,78733,NA,NA
2013-029577 C8,Subdivision,Nexus Subdivision,Final Plat,With Replat,Subdivision Recorded,Commercial-MIXED USE,NA,12/16/2013,12/16/2013 01:01:36 PM,03/26/2013,12/16/2013,2013,78741,1,1
2013-104991 C,Subdivision Joint City/County,TA9603,Final Plat,Previously Unplatted,Subdivision Recorded,Single Family,NA,05/20/2014,05/20/2014 10:28:11 AM,10/07/2013,05/20/2014,2013,78749,NA,2
2002-000139 C8,Subdivision,SUNSET RIDGE AT SOUTHWEST PARKWAY,NA,NA,Approved,NA,SUNSET RIDGE AT SOUTHWEST PARKWAY,07/07/2003,03/02/2007 06:10:13 AM,06/23/2003,NA,2003,NA,NA,NA
2014-028256 C8,Subdivision,Walnut Acres,Final Plat,Previously Unplatted,Expired,Commercial,NA,NA,05/06/2014 08:59:06 PM,03/21/2014,NA,2014,78725,1,1
1995-000222 C8,Subdivision,WINDCREST CROSSING,NA,NA,Approved,999,WINDCREST CROSSING,NA,03/02/2007 06:10:13 AM,09/01/1995,NA,1995,NA,NA,NA
1985-000001 C8,Subdivision,WERKENTHIN SEC 2,Final Plat,With Preliminary,Approved,"999, 999",WERKENTHIN SECTION TWO,07/21/1998,09/27/2007 09:19:34 AM,08/29/1997,NA,1997,NA,NA,NA
1981-000014 C8,Subdivision,"JESTER POINT 2, SECTION 7",NA,NA,Approved,999,"JESTER POINT 2, SECTION 7",05/10/1994,03/02/2007 06:10:13 AM,05/24/1993,NA,1993,NA,NA,NA
2019-180044 C,Subdivision Joint City/County,Frontier Commercial,Final Plat,Resubdivision,Expired,Single Family,NA,NA,12/18/2019 01:27:26 PM,09/05/2019,NA,2019,78725,NA,3
2017-066385 C,Subdivision Joint City/County,Cardinal Hill Estates Unit 12; Amended Plat of Lot 108,Final Plat,Amended Plat,Expired,Single Family,NA,NA,07/17/2017 09:00:15 PM,06/01/2017,NA,2017,78734,NA,1
1997-000002 C8,Subdivision,BOOTHE-GOODNIGHT (AKA C8-96-0005.0A) **EXPIRED**,NA,NA,Expired,999,BOOTHE-GOODNIGHT (AKA C8-96-0005.0A) **EXPIRED**,NA,03/02/2007 06:10:13 AM,01/09/1997,NA,1997,NA,NA,NA
2001-000191 C,Subdivision Joint City/County,"AVERY BROOKSIDE, PHASE TWO (RESUBMITTAL OF C8J-01-0191.3A)",Final Plat,With Preliminary,Approved,"SF, ROW","AVERY BROOKSIDE, PHASE TWO (RESUBMITTAL OF C8J-01-0191.3A)",01/21/2004,03/02/2007 06:10:13 AM,09/15/2003,NA,2003,78717,NA,NA
2004-000033 C8,Subdivision,ZACHARY SCOTT SUBDIVISION SEC 2,Final Plat,With Preliminary,Withdrawn,SF,"ZACHARY SCOTT SUBDIVISION, SECTION 2",10/25/2005,04/13/2007 08:50:47 AM,04/04/2005,NA,2005,NA,NA,NA
2021-045459 C8,Subdivision,Parkside Section 3 at Wildhorse Ranch,Preliminary Plan,Preliminary,CC Pending,Single Family,NA,NA,04/22/2021 07:14:17 AM,03/29/2021,NA,2021,78724,1,115
1994-000019 C8,Subdivision,SPRENKLE ACRES,NA,NA,Expired,999,SPRENKLE ACRES,NA,03/02/2007 06:10:13 AM,02/03/1994,NA,1994,NA,NA,NA
1989-000012 C8,Subdivision,"HORSESHOE BEND, BLOCK C, LOT 9 AND OLMSTEAD HOMESTAEAD, LOT B, AMENDED PLAT",NA,NA,Approved,999,"HORSESHOE BEND, BLOCK C, LOT 9 AND OLMSTEAD HOMESTAEAD, LOT B, AMENDED PLAT",02/17/1989,03/02/2007 06:10:13 AM,02/07/1989,NA,1989,NA,NA,NA
1996-000227 C8,Subdivision,"SOUTHCROSS PLAZA, RESUBDIVISION",Final Plat,Previously Unplatted,Approved,999,"SOUTHCROSS PLAZA, RESUBDIVISION",NA,03/18/2009 09:49:35 AM,10/28/1996,NA,1996,NA,NA,9
1999-Z011988 C8,Subdivision,"STEINER RANCH DRIVE PH. 1, SECTION SEVEN PRELIMINARY",Preliminary Plan,Preliminary,Closed,NA,"STEINER RANCH DRIVE PH. 1, SECTION SEVEN PRELIMINARY",NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
2016-008476 C8,Subdivision,Houston Heights,Subdivision Vacation,With Replat,Expired,Single Family,NA,NA,03/12/2016 09:00:04 PM,01/26/2016,NA,2016,78721,5,13
2012-070907 C8,Subdivision,Avana Phase 3 Preliminary Plan,Preliminary Plan,Preliminary,Scheduled for Hearing,"SF, Private Street, D.E.E. PUE, Open Space, WQE, PED.",NA,NA,06/18/2013 11:30:31 AM,07/16/2012,NA,2012,78739,NA,24.48
2019-164959 C,Subdivision Joint City/County,TOWERY OAK ADDITION,Subdivision Vacation,Without Replat,Expired,(Other - enter here ),NA,NA,03/10/2020 03:45:38 AM,08/08/2019,NA,2019,NA,NA,3
1984-000196 C8,Subdivision,STONE CANYON SECTION THREE,NA,NA,Approved and Released,"999, 999, 999",STONE CANYON SECTION THREE,08/13/1996,03/02/2007 06:10:13 AM,04/02/1996,NA,1996,NA,NA,37
2003-000218 C8,Subdivision,"WELLS BRANCH TECHNOLOGY PARK, RESUB OF LOT 2",Final Plat,Without Preliminary,Approved,IND,"WELLS BRANCH TECHNOLOGY PARK, RESUB OF LOT 2",04/15/2004,03/02/2007 06:10:13 AM,12/22/2003,NA,2003,NA,NA,NA
1986-000008 C8,Subdivision,STONELAKE,NA,NA,Approved,NA,STONELAKE,10/14/1986,03/02/2007 06:10:13 AM,02/03/1986,NA,1986,NA,NA,NA
2013-057537 C,Subdivision Joint City/County,Raceway Single Family Subdivision Section Four,Final Plat,With Preliminary,Subdivision Recorded,"Single Family, ROW, Other",NA,02/20/2014,02/20/2014 11:16:17 AM,06/04/2013,02/20/2014,2013,78728,83,84
1994-000257 C8,Subdivision,"PARKSIDE MEDICAL SERVICES SUBDIVISION, LOT 1; RESUBDIVISION; (PLAT VACATION)",Subdivision Vacation,With Replat,Approved,NA,"PARKSIDE MEDICAL SERVICES SUBDIVISION, LOT 1; RESUBDIVISION; (PLAT VACATION)",10/04/2005,08/31/2009 09:47:16 AM,09/16/2005,NA,2005,78701,NA,NA
1997-000026 C8,Subdivision,"BRATTON LANE STRIP CENTER, RESUBDIVISION OF LOT 2, BLOCK A",Final Plat,Resubdivision,Approved,999,"BRATTON LANE STRIP CENTER, RESUBDIVISION OF LOT 2, BLOCK A",NA,05/12/2009 11:05:36 AM,02/19/1997,NA,1997,78728,NA,2
1985-000006 C8,Subdivision,H.E. BRODIE ADDITION SEC. 3 **VACATED 9/17/96**,NA,NA,Closed,999,H.E. BRODIE ADDITION SEC. 3 **VACATED 9/17/96**,03/08/1994,03/02/2007 06:10:13 AM,08/06/1993,NA,1993,NA,NA,NA
2000-002069 C8,Subdivision,AVERY MORRISON,Final Plat,With Preliminary,Approved,"GRBL, SF, ROW",AVERY MORRISON,04/04/2001,03/02/2007 06:10:13 AM,12/19/2000,NA,2000,NA,NA,132
2000-002264 C8,Subdivision,"METRO CENTER SEC 5, AMENDED PLAT OF LOTS 1 & 2, BLOCK C",Final Plat,Amended Plat,Approved,RET,"METRO CENTER SECTION 5, AMENDED PLAT OF LOTS 1 & 2, BLOCK C",01/30/2001,01/28/2009 08:29:35 AM,12/12/2000,NA,2000,NA,NA,2
1997-000148 C8,Subdivision,"J.C.E. ADDITION NO. 2, LOTS A & B AMENDED PLAT",NA,NA,Approved,999,"J.C.E. ADDITION NO. 2, LOTS A & B AMENDED PLAT",NA,03/02/2007 06:10:13 AM,07/09/1997,NA,1997,NA,NA,NA
2020-097643 C8,Subdivision,1116 LOTT AVENUE RESUBDIVISION,Final Plat,Resubdivision,Expired,Single Family,NA,NA,12/28/2020 09:01:06 PM,07/01/2020,NA,2020,78721,3,3
1988-000112 C8,Subdivision,MOPAC AT PARMER POINT,NA,NA,Closed,999,MOPAC AT PARMER POINT,01/11/1989,03/02/2007 06:10:13 AM,12/21/1988,NA,1988,NA,NA,NA
2007-121943 C,Subdivision Joint City/County,Granada Oaks Subdivision,Final Plat,With Preliminary,Expired,Single Family,NA,NA,10/17/2008 10:15:32 AM,05/16/2007,NA,2007,78737,NA,49
1992-000094 C8,Subdivision,FAY ADDITION,Final Plat,Previously Unplatted,Approved,999,FAY ADDITION,06/16/1992,12/11/2008 09:07:09 AM,05/26/1992,NA,1992,78746,NA,1
2020-040682 C,Subdivision Joint City/County,McKinney Falls Subdivision Preliminary Project Assessment,Preliminary Plan,Preliminary,Expired,Single Family,NA,NA,04/25/2020 09:01:08 PM,03/10/2020,NA,2020,78744,NA,368
2015-055946 C8,Subdivision,Mueller Section IX Subdivision; Amended Plat,Final Plat,Amended Plat,Subdivision Recorded,Single Family,NA,09/23/2015,09/23/2015 03:18:03 PM,05/12/2015,09/23/2015,2015,78723,302,302
1992-000206 C8,Subdivision,"HARRIS BRANCH ONE-B, SECTION TWO",NA,NA,Approved and Released,999,"HARRIS BRANCH ONE-B, SECTION TWO",08/19/1994,03/02/2007 06:10:13 AM,09/02/1993,NA,1993,NA,NA,NA
1994-000004 C8,Subdivision,SOUTHLAND OAKS SECTION 4 PHASE D,NA,NA,Approved,999,SOUTHLAND OAKS SECTION 4 PHASE D,01/27/1999,03/02/2007 06:10:13 AM,10/20/1998,NA,1998,NA,NA,NA
2006-000233 C8,Subdivision,"Grover's Paradise, A Resub of Lots 3, 4 & a portion of Lot 2, Block 16, Broadacr",Final Plat,Resubdivision,Approved,"DUP, SF, ROW","GROVER'S PARADISE, A RESUBDIVISION OF LOTS 3, 4 AND A PORTION OF LOT 2 BLOCK 16, BROADACRES",06/29/2007,10/22/2008 01:40:42 PM,10/31/2006,05/22/2007,2006,78756,3,6
2006-000178 C8,Subdivision,"CINCO SUBDIVISION, AMENDED PLAT OF",Final Plat,Amended Plat,Expired,"MF, RET","CINCO SUBDIVISION, AMENDED PLAT OF",11/14/2006,12/21/2007 08:29:27 AM,08/07/2006,NA,2006,NA,NA,1
2020-007867 C8,Subdivision,Amended Plat of Northgate Addition Resubdivision of Lots 1 & 2 Block F,Final Plat,Amended Plat,Subdivision Recorded,Single Family,NA,06/04/2020,06/04/2020 09:38:08 AM,01/17/2020,06/04/2020,2020,NA,5,5
1986-000044 C8,Subdivision,SOUTHWEST PLAZA *WITHDRAWN*,NA,NA,Withdrawn,999,SOUTHWEST PLAZA *WITHDRAWN*,NA,03/02/2007 06:10:13 AM,02/28/1986,NA,1986,NA,NA,NA
1995-000137 C8,Subdivision,MISSION OF SANTA BARBARA,NA,NA,Approved,999,MISSION OF SANTA BARBARA,NA,03/02/2007 06:10:13 AM,06/27/1995,NA,1995,NA,NA,NA
2004-000061 C,Subdivision Joint City/County,MARSHALL FORD OVERLOOK,Final Plat,Without Preliminary,Approved,OFC,MARSHALL FORD OVERLOOK,12/21/2004,03/02/2007 06:10:13 AM,05/04/2004,NA,2004,NA,NA,NA
1995-000226 C8,Subdivision,COVERT ADDITION NO. 5 SUBDIVISION,Final Plat,With Preliminary,Approved,RET,COVERT ADDITION NO. 5 SUBDIVISION,03/26/2001,02/12/2009 01:49:39 PM,01/16/2001,NA,2001,78744,NA,NA
2012-027295 C,Subdivision Joint City/County,Bellingham Meadows (A small lot subdivision),Preliminary Plan,Preliminary,Expired,"SF, PUB, GRBLT, ROW",NA,NA,05/06/2012 09:00:29 PM,03/21/2012,NA,2012,NA,NA,675
1987-000020 C8,Subdivision,"STONEY RIDGE PHASE A, SECTION III-B**WITHDRAWN **SEE C8-87-020.01.5A",NA,NA,Withdrawn,999,"STONEY RIDGE PHASE A, SECTION III-B**WITHDRAWN **SEE C8-87-020.01.5A",10/28/1996,03/02/2007 06:10:13 AM,06/03/1996,NA,1996,NA,NA,NA
1984-000013 C8,Subdivision,SHADY HOLLOW WEST,NA,NA,Approved,999,SHADY HOLLOW WEST,10/30/1991,03/02/2007 06:10:13 AM,09/05/1991,NA,1991,NA,NA,NA
2020-142457 C8,Subdivision,Sand Beach Overlook Subdivision,Final Plat,Previously Unplatted,Expired,Office,NA,NA,03/19/2021 03:45:42 AM,09/16/2020,NA,2020,78703,1,1
2017-122817 C,Subdivision Joint City/County,Ayala and Amigos Subdivision,Final Plat,Previously Unplatted,Expired,Single Family/ COMMERCIAL,NA,NA,11/13/2017 09:00:16 PM,09/28/2017,NA,2017,78617,1,6
2020-017750 C8,Subdivision,thinkEAST Multifamily,Final Plat,Previously Unplatted,Subdivision Recorded,Commercial Multi Family,NA,10/16/2020,01/13/2021 11:45:40 AM,02/05/2020,10/16/2020,2020,78721,1,1
2007-000033 C8,Subdivision,"SZYMANSKI SUBDIVISION, RESUBDIVISION OF LOT 2",Final Plat,Resubdivision,Approved,"SF, DUP","SZYMANSKI SUBDIVISION, RESUBDIVISION OF LOT 2",12/17/2007,03/26/2008 08:59:05 AM,01/26/2007,06/26/2007,2007,78704,1,2
2018-201738 C,Subdivision Joint City/County,Longview,Preliminary Plan,Preliminary,Awaiting Update,Single Family,NA,NA,03/23/2021 03:54:32 PM,11/28/2018,NA,2018,78617,NA,1510
2007-125377 C8,Subdivision,"Domain Shopping Center Sec 3 (Resub of a Portion Lot 3, Blk A Domain Sec 2)",Final Plat,Resubdivision,Approved,same,NA,NA,02/25/2008 09:00:27 AM,05/30/2007,01/06/2008,2007,NA,1,3.13
2021-006382 C8,Subdivision,Samsung Austin Semiconductor Final Plat (325 acres),Final Plat,Previously Unplatted,Awaiting Update,Industrial -  Complete Propsed Use below,NA,NA,04/19/2021 04:28:46 PM,01/15/2021,NA,2021,78754,0,1
1993-000127 C8,Subdivision,"COPPERFIELD IV, SECTION I-B",NA,NA,Approved and Released,"999, 999","COPPERFIELD IV, SECTION I-B",09/16/1994,03/02/2007 06:10:13 AM,03/17/1994,NA,1994,NA,NA,NA
